YEAR,GISJOIN,NAME,total,occupied,vacant,pct.vacant
1970,G0600170,El Dorado,23871,15031,8840,0.37032382388672447
1970,G0600190,Fresno,135620,126752,8868,0.06538858575431353
1970,G0600210,Glenn,6299,5723,576,0.09144308620415939
1970,G0600230,Humboldt,35222,32383,2839,0.08060303219578673
1970,G0600250,Imperial,23401,21030,2371,0.10132045639075253
1970,G0600270,Inyo,6135,5536,599,0.09763651181744092
1970,G0600290,Kern,110128,101650,8478,0.07698314688362633
1970,G0600310,Kings,19606,18293,1313,0.0669692951137407
1970,G0600330,Lake,12161,7679,4482,0.36855521749856096
1970,G0600350,Lassen,5771,4994,777,0.13463871079535608
1970,G0600370,Los Angeles,2538910,2431981,106929,0.04211610494267225
1970,G0600390,Madera,14788,12756,2032,0.13740870976467406
1970,G0600410,Marin,71241,67606,3635,0.05102398899510113
1970,G0600430,Mariposa,3089,2204,885,0.2865004855940434
1970,G0600450,Mendocino,18914,16538,2376,0.1256212329491382
1970,G0600470,Merced,32708,30464,2244,0.06860706860706861
1970,G0600490,Modoc,2892,2524,368,0.1272475795297372
1970,G0600510,Mono,3082,1382,1700,0.5515898767034393
1970,G0600530,Monterey,76358,71232,5126,0.0671311453940648
1970,G0600550,Napa,26838,25098,1740,0.06483344511513525
1970,G0600570,Nevada,11960,9601,2359,0.19724080267558528
1970,G0600590,Orange,462803,436120,26683,0.05765520102505818
1970,G0600610,Placer,30441,24557,5884,0.19329194178903453
1970,G0600630,Plumas,6016,4140,1876,0.31183510638297873
1970,G0600650,Riverside,169757,150504,19253,0.11341505799466296
1970,G0600670,Sacramento,212247,202953,9294,0.04378860478593337
1970,G0600690,San Benito,5925,5460,465,0.07848101265822785
1970,G0600710,San Bernardino,251445,212021,39424,0.1567897552148581
1970,G0600730,San Diego,450798,423513,27285,0.06052600055900869
1970,G0600750,San Francisco,310402,295174,15228,0.049058962248954584
1970,G0600770,San Joaquin,96771,92372,4399,0.04545783344183692
1970,G0600790,San Luis Obispo,37612,33926,3686,0.09800063809422525
1970,G0600810,San Mateo,190446,185028,5418,0.02844900916795312
1970,G0600830,Santa Barbara,88806,83929,4877,0.05491746053194604
1970,G0600850,Santa Clara,336443,322870,13573,0.04034264347898455
1970,G0600870,Santa Cruz,52006,44420,7586,0.14586778448640542
1970,G0600890,Shasta,27449,25290,2159,0.07865496010783635
1970,G0600910,Sierra,1551,884,667,0.4300451321727917
1970,G0600930,Siskiyou,13074,11273,1801,0.13775432155422976
1970,G0600950,Solano,53608,51120,2488,0.04641098343530816
1970,G0600970,Sonoma,78060,67861,10199,0.13065590571355368
1970,G0600990,Stanislaus,65414,62100,3314,0.05066193781147767
1970,G0601010,Sutter,14102,13159,943,0.06686994752517374
1970,G0601030,Tehama,10701,9567,1134,0.10597140454163162
1970,G0601050,Trinity,3750,2608,1142,0.3045333333333333
1970,G0601070,Tulare,61904,56490,5414,0.08745799948307056
1970,G0601090,Tuolumne,11248,7498,3750,0.33339260312944524
1970,G0601110,Ventura,112133,106469,5664,0.050511446229031594
1970,G0601130,Yolo,29736,28316,1420,0.047753564702717244
1970,G0601150,Yuba,14202,13074,1128,0.07942543303760034
1970,G0800010,Adams,51457,50024,1433,0.02784849485978584
1970,G0800030,Alamosa,3678,3285,393,0.1068515497553018
1970,G0800050,Arapahoe,48925,47529,1396,0.028533469596320898
1970,G0800070,Archuleta,1211,817,394,0.32535094962840627
1970,G0800090,Baca,2262,1938,324,0.14323607427055704
1970,G0800110,Bent,2126,1941,185,0.08701787394167451
1970,G0800130,Boulder,44307,40854,3453,0.07793350937775069
1970,G0800150,Chaffee,3749,3176,573,0.15284075753534276
1970,G0800170,Cheyenne,899,774,125,0.13904338153503892
1970,G0800190,Clear Creek,2493,1625,868,0.3481748896911352
1970,G0800210,Conejos,2545,1980,565,0.2220039292730845
1970,G0800230,Costilla,1114,826,288,0.2585278276481149
1970,G0800250,Crowley,1296,1083,213,0.16435185185185186
1970,G0800270,Custer,887,411,476,0.5366403607666291
1970,G0800290,Delta,6186,5298,888,0.14354995150339475
1970,G0800310,Denver,193765,185331,8434,0.043526952752045
1970,G0800330,Dolores,743,500,243,0.32705248990578734
1970,G0800350,Douglas,2681,2420,261,0.09735173442745244
1970,G0800370,Eagle,3257,2302,955,0.2932146146760823
1970,G0800390,Elbert,1402,1280,122,0.08701854493580599
1970,G0800410,El Paso,73710,67581,6129,0.08315018315018315
1970,G0800430,Fremont,7621,7006,615,0.08069807111927568
1970,G0800450,Garfield,5537,4923,614,0.11089037384865451
1970,G0800470,Gilpin,1265,469,796,0.6292490118577075
1970,G0800490,Grand,2966,1370,1596,0.5380984490896831
1970,G0800510,Gunnison,3361,2215,1146,0.3409699494198155
1970,G0800530,Hinsdale,651,80,571,0.8771121351766513
1970,G0800550,Huerfano,2855,2205,650,0.2276707530647986
1970,G0800570,Jackson,845,578,267,0.31597633136094677
1970,G0800590,Jefferson,72055,68322,3733,0.05180764693636805
1970,G0800610,Kiowa,790,686,104,0.13164556962025317
1970,G0800630,Kit Carson,2744,2387,357,0.13010204081632654
1970,G0800650,Lake,2959,2443,516,0.1743832375802636
1970,G0800670,La Plata,6989,5683,1306,0.18686507368722277
1970,G0800690,Larimer,33898,28183,5715,0.16859401734615612
1970,G0800710,Las Animas,5772,5084,688,0.1191961191961192
1970,G0800730,Lincoln,1877,1605,272,0.1449120937666489
1970,G0800750,Logan,6393,5808,585,0.09150633505396527
1970,G0800770,Mesa,18982,17640,1342,0.07069855652723633
1970,G0800790,Mineral,637,254,383,0.6012558869701727
1970,G0800810,Moffat,2490,2095,395,0.15863453815261044
1970,G0800830,Montezuma,4480,3965,515,0.11495535714285714
1970,G0800850,Montrose,6208,5612,596,0.09600515463917526
1970,G0800870,Morgan,7032,6300,732,0.10409556313993173
1970,G0800890,Otero,8015,7277,738,0.09207735495945103
1970,G0800910,Ouray,799,538,261,0.32665832290362956
1970,G0800930,Park,2306,757,1549,0.6717259323503902
1970,G0800950,Phillips,1644,1471,173,0.10523114355231143
1970,G0800970,Pitkin,2748,2069,679,0.24708879184861718
1970,G0800990,Prowers,4664,4151,513,0.10999142367066896
1970,G0801010,Pueblo,37636,35373,2263,0.06012860027633117
1970,G0801030,Rio Blanco,2028,1474,554,0.27317554240631164
1970,G0801050,Rio Grande,3712,3070,642,0.17295258620689655
1970,G0801070,Routt,3092,2159,933,0.3017464424320828
1970,G0801090,Saguache,1614,1134,480,0.29739776951672864
1970,G0801110,San Juan,372,262,110,0.2956989247311828
1970,G0801130,San Miguel,983,630,353,0.35910478128179046
1970,G0801150,Sedgwick,1382,1161,221,0.15991316931982633
1970,G0801170,Summit,2198,862,1336,0.607825295723385
1970,G0801190,Teller,2190,1127,1063,0.4853881278538813
1970,G0801210,Washington,2141,1848,293,0.13685193834656703
1970,G0801230,Weld,28896,26664,2232,0.07724252491694353
1970,G0801250,Yuma,3550,3013,537,0.15126760563380282
1970,G0900010,Fairfield,254618,243806,10812,0.042463612156249754
1970,G0900030,Hartford,262881,255437,7444,0.028316995142288717
1970,G0900050,Litchfield,51052,45550,5502,0.10777246728825511
1970,G0900070,Middlesex,38314,34758,3556,0.09281202693532391
1970,G0900090,New Haven,242851,231754,11097,0.04569468521850847
1970,G0900110,New London,73324,67618,5706,0.07781899514483662
1970,G0900130,Tolland,29735,27902,1833,0.061644526652093495
1970,G0900150,Windham,28383,26444,1939,0.06831554099284783
1970,G1000010,Kent,25242,23368,1874,0.07424134379209255
1970,G1000030,New Castle,120704,115774,4930,0.04084371686108165
1970,G1000050,Sussex,34287,25662,8625,0.2515530667599965
1970,G1200010,Alachua,33538,31115,2423,0.07224640706064762
1970,G1200030,Baker,2352,2229,123,0.05229591836734694
1970,G1200050,Bay,26978,23403,3575,0.13251538290458892
1970,G1200070,Bradford,4626,4058,568,0.12278426286208387
1970,G1200090,Brevard,77981,68560,9421,0.12081147971941883
1970,G1200110,Broward,253325,222563,30762,0.12143294187308792
1970,G1200130,Calhoun,2710,2393,317,0.11697416974169741
1970,G1200150,Charlotte,13752,11668,2084,0.1515415939499709
1970,G1200170,Citrus,9769,7358,2411,0.24680110553792609
1970,G1200190,Clay,10988,9396,1592,0.14488532945030944
1970,G1200210,Collier,17580,13012,4568,0.25984072810011377
1970,G1200230,Columbia,8450,7669,781,0.09242603550295858
1970,G1200250,Dade,453908,428026,25882,0.0570203653603814
1970,G1200270,De Soto,4095,3761,334,0.08156288156288156
1970,G1200290,Dixie,1884,1708,176,0.09341825902335456
1970,G1200310,Duval,174309,161666,12643,0.0725321125128364
1970,G1200330,Escambia,65141,60387,4754,0.07298015074991172
1970,G1200350,Flagler,1867,1488,379,0.20299946438136046
1970,G1200370,Franklin,3409,2429,980,0.2874743326488706
1970,G1200390,Gadsden,10268,9066,1202,0.11706271912738606
1970,G1200410,Gilchrist,1253,1146,107,0.0853950518754988
1970,G1200430,Glades,1443,1115,328,0.2273042273042273
1970,G1200450,Gulf,3795,3001,794,0.20922266139657444
1970,G1200470,Hamilton,2562,2353,209,0.08157689305230288
1970,G1200490,Hardee,4801,4368,433,0.09018954384503229
1970,G1200510,Hendry,3985,3617,368,0.09234629861982434
1970,G1200530,Hernando,7776,6084,1692,0.2175925925925926
1970,G1200550,Highlands,12547,10468,2079,0.16569697935761538
1970,G1200570,Hillsborough,168555,158750,9805,0.05817092343745365
1970,G1200590,Holmes,4082,3550,532,0.13032827045565898
1970,G1200610,Indian River,14109,12325,1784,0.12644411368629951
1970,G1200630,Jackson,11379,10295,1084,0.09526320414799191
1970,G1200650,Jefferson,2683,2481,202,0.07528885575847931
1970,G1200670,Lafayette,1036,955,81,0.07818532818532818
1970,G1200690,Lake,28348,24621,3727,0.13147311979681106
1970,G1200710,Lee,43511,37313,6198,0.14244673760658225
1970,G1200730,Leon,32576,31022,1554,0.04770383104125737
1970,G1200750,Levy,4760,4175,585,0.12289915966386554
1970,G1200770,Liberty,1287,1064,223,0.17327117327117328
1970,G1200790,Madison,4265,4000,265,0.06213364595545135
1970,G1200810,Manatee,42841,38488,4353,0.10160827244928923
1970,G1200830,Marion,26129,22317,3812,0.1458915381377014
1970,G1200850,Martin,12403,10122,2281,0.18390711924534386
1970,G1200870,Monroe,20731,16827,3904,0.18831701316868457
1970,G1200890,Nassau,6785,6018,767,0.11304347826086956
1970,G1200910,Okaloosa,27296,24915,2381,0.087228898007034
1970,G1200930,Okeechobee,3719,3178,541,0.1454692121538048
1970,G1200950,Orange,117298,108645,8653,0.07376937373186243
1970,G1200970,Osceola,10540,9092,1448,0.13738140417457306
1970,G1200990,Palm Beach,141232,123347,17885,0.12663560666137985
1970,G1201010,Pasco,34816,30361,4455,0.1279584099264706
1970,G1201030,Pinellas,228771,211301,17470,0.07636457418116807
1970,G1201050,Polk,80520,73024,7496,0.09309488325881768
1970,G1201070,Putnam,13010,11494,1516,0.11652574942352037
1970,G1201090,St Johns,11715,10004,1711,0.14605206999573198
1970,G1201110,St Lucie,18871,16847,2024,0.10725451751364527
1970,G1201130,Santa Rosa,12151,10846,1305,0.10739856801909307
1970,G1201150,Sarasota,56242,48634,7608,0.13527257209914298
1970,G1201170,Seminole,28446,25757,2689,0.09452998664135555
1970,G1201190,Sumter,5285,4627,658,0.12450331125827814
1970,G1201210,Suwannee,5227,4855,372,0.07116893055289841
1970,G1201230,Taylor,4991,4227,764,0.15307553596473653
1970,G1201250,Union,1745,1639,106,0.06074498567335244
1970,G1201270,Volusia,70605,62747,7858,0.11129523404858013
1970,G1201290,Wakulla,2726,1926,800,0.293470286133529
1970,G1201310,Walton,6597,5270,1327,0.20115203880551766
1970,G1201330,Washington,4237,3620,617,0.14562190228935568
1970,G1300010,Appling,3942,3632,310,0.07864028411973617
1970,G1300030,Atkinson,1786,1629,157,0.08790593505039193
1970,G1300050,Bacon,2787,2424,363,0.1302475780409042
1970,G1300070,Baker,1173,1057,116,0.0988917306052856
1970,G1300090,Baldwin,7970,7083,887,0.11129234629861982
1970,G1300110,Banks,2320,2128,192,0.08275862068965517
1970,G1300130,Barrow,5682,5298,384,0.0675818373812038
1970,G1300150,Bartow,10445,9963,482,0.046146481570129246
1970,G1300170,Ben Hill,4601,4283,318,0.06911540969354488
1970,G1300190,Berrien,3859,3572,287,0.07437159885980824
1970,G1300210,Bibb,47410,44226,3184,0.06715882725163468
1970,G1300230,Bleckley,3209,2939,270,0.08413836086008102
1970,G1300250,Brantley,1875,1695,180,0.096
1970,G1300270,Brooks,4362,3992,370,0.08482347546996791
1970,G1300290,Bryan,1947,1820,127,0.06522855675398048
1970,G1300310,Bulloch,10512,9535,977,0.092941400304414
1970,G1300330,Burke,5563,5089,474,0.08520582419557793
1970,G1300350,Butts,3685,2900,785,0.2130257801899593
1970,G1300370,Calhoun,2113,1824,289,0.13677236157122574
1970,G1300390,Camden,3539,3137,402,0.11359141000282566
1970,G1300430,Candler,2161,1920,241,0.11152244331328089
1970,G1300450,Carroll,14625,13815,810,0.055384615384615386
1970,G1300470,Catoosa,8807,8497,310,0.03519927330532531
1970,G1300490,Charlton,1666,1526,140,0.08403361344537816
1970,G1300510,Chatham,61941,57910,4031,0.0650780581521125
1970,G1300530,Chattahoochee,2127,2035,92,0.043253408556652564
1970,G1300550,Chattooga,6817,6456,361,0.05295584567991785
1970,G1300570,Cherokee,9932,9356,576,0.05799436165928312
1970,G1300590,Clarke,20559,19488,1071,0.05209397344228805
1970,G1300610,Clay,1282,1073,209,0.16302652106084242
1970,G1300630,Clayton,29440,27917,1523,0.05173233695652174
1970,G1300650,Clinch,2014,1749,265,0.13157894736842105
1970,G1300670,Cobb,61190,58485,2705,0.04420656970093152
1970,G1300690,Coffee,7162,6544,618,0.08628874616029042
1970,G1300710,Colquitt,10369,9769,600,0.05786478927572572
1970,G1300730,Columbia,6740,6225,515,0.07640949554896143
1970,G1300750,Cook,3921,3564,357,0.09104820198928845
1970,G1300770,Coweta,10210,9618,592,0.05798237022526934
1970,G1300790,Crawford,1666,1477,189,0.1134453781512605
1970,G1300810,Crisp,6096,5465,631,0.10351049868766404
1970,G1300830,Dade,2993,2794,199,0.06648847310390912
1970,G1300850,Dawson,1344,1120,224,0.16666666666666666
1970,G1300870,Decatur,7157,6430,727,0.10157887382981697
1970,G1300890,De Kalb,129712,124089,5623,0.043349882817318365
1970,G1300910,Dodge,5468,4829,639,0.11686174103877103
1970,G1300930,Dooly,3433,3030,403,0.11739003786775415
1970,G1300950,Dougherty,27041,25190,1851,0.06845161051736252
1970,G1300970,Douglas,8677,8245,432,0.049786792670277746
1970,G1300990,Early,4112,3716,396,0.0963035019455253
1970,G1301010,Echols,628,542,86,0.13694267515923567
1970,G1301030,Effingham,4002,3740,262,0.06546726636681659
1970,G1301050,Elbert,5826,5458,368,0.06316512186749056
1970,G1301070,Emanuel,6334,5486,848,0.13388064414272183
1970,G1301090,Evans,2376,2180,196,0.08249158249158249
1970,G1301110,Fannin,4916,4255,661,0.13445890968266883
1970,G1301130,Fayette,3437,3216,221,0.06430026185627
1970,G1301150,Floyd,24093,22984,1109,0.04602996721039306
1970,G1301170,Forsyth,6003,5126,877,0.1460936198567383
1970,G1301190,Franklin,4397,4038,359,0.08164657721173528
1970,G1301210,Fulton,207814,197555,10259,0.04936626021346011
1970,G1301230,Gilmer,3148,2811,337,0.10705209656925031
1970,G1301250,Glascock,875,715,160,0.18285714285714286
1970,G1301270,Glynn,16659,15116,1543,0.09262260639894351
1970,G1301290,Gordon,7748,7286,462,0.059628291171915336
1970,G1301310,Grady,6003,5394,609,0.10144927536231885
1970,G1301330,Greene,3268,3004,264,0.08078335373317014
1970,G1301350,Gwinnett,22235,21323,912,0.04101641556105239
1970,G1301370,Habersham,6574,6133,441,0.06708244599939155
1970,G1301390,Hall,19688,18058,1630,0.08279154815115806
1970,G1301410,Hancock,2499,2298,201,0.08043217286914765
1970,G1301430,Haralson,5437,5133,304,0.05591318741953283
1970,G1301450,Harris,4159,3328,831,0.19980764606876653
